,2
400,ILF2
401,MANF
402,KARS1
403,TMPRSS4
404,RPL22
405,IFIT1
406,UBE2D3
407,MPEG1
408,HAS3
409,PSMB1
410,TMEM45B
411,GARS1
412,RNASE7
413,RND3
414,C15orf48
415,EIF4G1
416,RRM1
417,HSPA9
418,PSMA4
419,SKP1
420,UGT1A7
421,PIM1
422,CCT7
423,SORD
424,RPS3
425,LGALS7B
426,TRIM16
427,APOL2
428,FKBP1A
429,CD68
430,GNL3
431,IL4R
432,NAP1L1
433,SF3B3
434,SLC39A6
435,ATP5F1E
436,PGM2
437,KPNB1
438,CCT2
439,GJB2
440,GSPT1
441,ZNF185
442,PSMD2
443,CTSS
444,ENSG00000285108
445,PLEK
446,ATP1B3
447,PILRB
448,XBP1
449,OAS1
450,HYOU1
451,FAM162A
452,MAPRE1
453,RPS21
454,NPEPPS
455,WFDC12
456,HLA-DQA1-5
457,PTPRC
458,PRELID1
459,DNAJC7
460,KRT23-1
461,PNP
462,SQLE
463,MCM3
464,CAPZA1
465,KPNA2
466,SRSF1
467,SSB
468,MYD88
469,EIF4A3
470,TNXB-3
471,ITGAX
472,EBNA1BP2
473,HMGN2
474,DDX21
475,IL36G
476,XAF1
477,FCHSD1
478,PSME3
479,SLC25A25
480,SULT2B1
481,PPA1
482,RPL27
483,NDUFS5
484,MYC
485,EPRS1
486,EGLN3
487,GPI
488,ENSG00000269968
489,NAP1L4-1
490,BHLHE40
491,ENSG00000258232
492,RPS2P5
493,GBA
494,ANP32B
495,IER2
496,CAPZB
497,ACTN4-1
498,CSF1R
499,SUB1
500,BIRC3
501,LMO7
502,MKI67
503,APOL3
504,CLTC
505,TRA2B
506,IL2RG
507,RPL37A
508,CD209
509,CD47
510,PPIF
511,HMGB2
512,IL10RA
513,APOL6
514,ATP5PD
515,NDUFB9
516,GLRX3
517,CTSA
518,NME1
519,HLA-DRB1
520,NOP58
521,BZW2
522,CMTM6
523,PSME2
524,PSME2-1
525,SAMHD1
526,TLE3
527,RPL38
528,MTHFD1
529,GOLGA4
530,RBM3
531,ATP5F1C
532,ARHGAP23
533,CHMP4B
534,MICALL1
535,FCGBP
536,TBC1D3L
537,MYL12A
538,TRIM22
539,ATP5PO
540,RAB11A
541,ACTR2
542,SLC25A3
543,ICAM1
544,PSMB4
545,TAPBP-4
546,NOMO1-1
547,TAPBP
548,LSM14A-1
549,SRGN
550,ALOX12B
551,COPB2
552,RPL22P1
553,ATP5PB
554,ADAP2
555,RPS4Y1
556,SERPINH1
557,SNRPD2
558,C1QB
559,VMP1
560,NNMT
561,SQOR
562,MIR23AHG-1
563,MIR23AHG
564,MAPK6
565,PTAFR
566,PPP2CA
567,LINC03031
568,PSMA3
569,CNBP
570,PABPC4
571,PRKDC
572,CYLD
573,RXRB-2
574,CIITA
575,PER1
576,HMGB1P6
577,IFIH1
578,TRIP12
579,OVOL1
580,HMGA1
581,RPS17-1
582,HLA-DRB4-1
583,CD53
584,ST14
585,ATP6V1C2
586,PSMD6
587,CCL2
588,TMEM79
589,YARS1
590,ANXA5
591,C1QBP
592,TNFAIP3
593,PROS1
594,IFIT2
595,RTRAF
596,CLTA
597,DDOST
598,SNHG16
599,UQCRB
600,PLA2G4B
601,RAB7A
602,HLA-DQA1-1
603,DNAJB11
604,AHCY
605,VEGFA
606,HLA-DRB3
607,PEA15
608,DIAPH1
609,ESRP2
610,COX6A1
611,SDR9C7
612,PSMA2
613,PSMB3-1
614,PLA2G4D
615,ALDH3A1
616,SCNN1A
617,CYP4F22
618,MS4A6A
619,HM13
620,GHITM
621,DDX39B-1
622,MARS1
623,NR4A1
624,ARHGAP27-1
625,PABPC1
626,CCT4
627,FKBP4
628,PSMC3
629,AATF
630,PHRF1
631,GBP5
632,NACA
633,CLU
634,EGR3
635,PSAP
636,CCZ1
637,ADA2
638,HSPE1
639,AK2
640,IFNGR1
641,IFI6
642,TOP2A
643,EIF3M
644,COX6C
645,SELE
646,GRHL3
647,DUOXA1
648,EIF2S1
649,TNXB
650,C10orf99
651,HLA-C-1
652,MT-ND3
653,CPVL
654,CARS1-1
655,CKAP4
656,GALNT6
657,VAMP8
658,ESRP1
659,HNRNPF
660,LMNB1
661,ITGB2
662,DDX39B-4
663,GNL2
664,SIK1
665,NMU
666,PLEKHM1-2
667,STIP1
668,RPS6KA4
669,GPSM2
670,HSPB8
671,C6orf62
672,RRM2
673,VCAN
674,ATP5F1A
675,HSD17B4
676,DDX3X
